"ID","Name","ImageType"
"RZDE01","The Legend of Zelda: Twilight Princess","3D Cover"
"SOUE01","The Legend of Zelda: Skyward Sword","3D Cover"
"RZPE01","Link's Crossbow Training","3D Cover"
"SVME01","Super Mario All-Stars","3D Cover"
"RZDE01","The Legend of Zelda: Twilight Princess","2D Cover"
"SOUE01","The Legend of Zelda: Skyward Sword","2D Cover"
"RZPE01","Link's Crossbow Training","2D Cover"
"SVME01","Super Mario All-Stars","2D Cover"
"RZDE01","The Legend of Zelda: Twilight Princess","Original Discart"
"SOUE01","The Legend of Zelda: Skyward Sword","Original Discart"
"RZPE01","Link's Crossbow Training","Original Discart"
"SVME01","Super Mario All-Stars","Original Discart"
